X1TXMTSCOR,X1MTHEFF,X1SCIEFF,X1SCHOOLBEL,X1SCHOOLCLI,S1M8GRADE,S1S8GRADE,X1PAREDU,X1PAREDEXPCT,S1EDUEXPECT,S1SUREHSGRAD,S1PAYOFF,S1GETINTOCLG,S1AFFORD,S1WORKING,X1PAR_SURVEY_MISSING,X1_DUAL_PARENT,X1POVERTY,MATH_NO_CLASS,SCI_NO_CLASS,S1FYFAMILY,S1FYMILITARY,X1CONTROL,X4EVERDROP
66.6382,-0.17,0.25,1.34,1.15,1,1,4,10,10,1,4,4,4,4,0,0,0,0,0,0.0,0.0,2.0,0.0
65.4175,0.55,1.1,1.0,0.82,1,1,7,10,10,1,3,4,4,4,0,1,0,0,0,0.0,0.0,2.0,0.0
51.1482,1.21,1.83,-0.39,-2.05,1,2,4,7,6,1,4,4,4,4,1,1,0,0,0,0.0,0.0,1.0,0.0
69.3018,-0.17,1.83,0.12,-2.01,2,1,5,10,9,1,4,4,3,4,0,1,0,0,0,0.0,0.0,1.0,0.0
53.3125,-0.56,-0.89,0.7,0.34,1,1,4,10,10,1,4,3,3,4,0,1,0,0,0,0.0,0.0,2.0,0.0
58.9156,1.34,0.06604246807201108,1.34,-0.28,1,1,4,8,10,1,3,3,4,4,0,1,0,0,1,0.0,0.0,1.0,0.0
49.3304,-0.56,-0.48,-0.62,-0.3590853994490358,2,1,2,10,5,1,3,4,3,4,0,1,0,0,0,1.0,0.0,1.0,0.0
38.5661,-2.09,0.68,-0.31,0.28,3,3,2,4,3,2,4,3,2,3,0,1,0,0,0,0.0,1.0,2.0,0.0
47.3637,-0.17,0.06604246807201108,-0.04,-2.03,2,3,2,8,4,1,2,3,2,3,0,0,1,0,1,0.0,0.0,1.0,1.0
32.6739,-0.56,-0.89,0.98,1.33,2,1,4,6,8,1,3,3,4,3,0,1,0,0,0,0.0,0.0,2.0,0.0
57.3826,0.1,0.25,-0.04,1.21,1,1,2,8,6,1,3,3,3,3,0,1,0,0,0,0.0,0.0,2.0,0.0
59.197,0.1,1.41,0.05,0.48,1,1,4,6,8,1,3,4,3,4,0,1,0,0,0,1.0,0.0,1.0,0.0
31.8621,0.0752707324023938,-0.58,-1.31,-0.65,1,1,2,1,1,1,4,2,1,3,0,1,0,0,0,0.0,0.0,1.0,1.0
43.2506,-0.97,-1.02,0.21,-1.6,4,4,3,6,6,2,3,4,4,4,0,1,0,0,0,0.0,0.0,1.0,1.0
50.3963,-1.68,-0.89,-0.29,-0.3590853994490358,1,1,2,8,8,1,3,3,4,3,0,0,0,0,0,0.0,0.0,1.0,0.0
31.533,1.62,-0.46,1.59,-1.47,2,3,2,7,5,1,3,4,3,4,1,1,0,0,0,1.0,0.0,1.0,0.0
62.3903,1.62,1.83,1.1,1.27,1,1,7,8,10,1,3,4,4,4,0,1,0,0,0,0.0,0.0,2.0,0.0
55.4284,0.07527073240239386,-0.05,0.85,0.56,2,1,5,6,6,1,3,3,3,3,0,1,0,1,0,0.0,0.0,1.0,0.0
78.6415,1.62,1.83,1.04,0.79,1,1,7,8,8,1,4,4,4,4,0,1,0,0,0,0.0,0.0,2.0,0.0
52.5168,0.1,-0.05,1.34,1.53,1,1,4,8,8,1,3,3,3,3,1,1,0,0,0,1.0,0.0,2.0,0.0
61.8043,1.34,1.83,-0.04,0.02,3,1,2,10,10,1,4,4,4,4,0,1,1,0,0,0.0,0.0,1.0,0.0
53.9321,1.62,0.25,0.73,-0.41,2,2,4,8,6,1,3,3,3,3,0,1,0,0,0,0.0,0.0,1.0,0.0
41.8678,0.07527073240239386,0.06604246807201108,1.1,-1.88,2,4,3,7,2,2,3,3,3,4,0,1,0,1,1,0.0,0.0,1.0,0.0
61.5325,0.07527073240239386,0.06604246807201108,0.24,-4.0,3,3,2,6,5,1,2,3,2,4,0,0,0,1,1,0.0,0.0,1.0,0.0
62.2458,1.62,-1.02,0.32,-0.3590853994490358,2,2,4,6,9,2,4,4,3,4,0,1,0,0,0,0.0,0.0,1.0,0.0
55.0041,0.1,-0.17,-0.37,0.56,2,1,4,8,8,1,4,4,4,3,0,1,0,0,0,0.0,0.0,1.0,0.0
55.9562,0.07527073240239386,0.06604246807201108,1.0,0.14,1,1,4,10,6,1,4,4,3,4,0,1,0,1,1,0.0,0.0,1.0,0.0
69.7227,0.1,0.25,1.59,0.83,1,1,5,10,10,1,4,4,4,4,0,1,0,0,0,0.0,0.0,1.0,0.0
60.6604,-0.17,-0.48,-0.73,-0.3590853994490358,1,2,4,8,10,1,3,3,3,3,0,1,0,0,0,0.0,0.0,2.0,0.0
41.1471,1.23,1.1,0.55,-1.71,2,1,2,10,6,1,4,4,4,4,0,1,0,0,0,0.0,0.0,1.0,1.0
63.7739,0.1,1.83,1.26,-0.6,1,1,4,10,10,1,4,4,4,4,0,1,0,0,0,0.0,0.0,1.0,0.0
